date,open,high,low,close,volume,code
2026-04-03,10425.0,11025.0,10100.0,10600.0,139542,187870
2026-04-06,10525.0,11150.0,10350.0,11025.0,188338,187870
2026-04-07,11050.0,11200.0,10050.0,10400.0,130702,187870
2026-04-08,10750.0,12875.0,10750.0,12700.0,473304,187870
2026-04-09,12650.0,13400.0,12325.0,12825.0,300052,187870
2026-04-10,13250.0,14675.0,13075.0,13850.0,1288680,187870
2026-04-13,13700.0,15050.0,13700.0,14750.0,609692,187870
2026-04-14,15200.0,15350.0,14425.0,14500.0,257902,187870
2026-04-15,14800.0,15500.0,14125.0,15150.0,302620,187870
2026-04-16,15150.0,16200.0,14850.0,15925.0,289542,187870
2026-04-17,16450.0,19075.0,16025.0,18600.0,1166800,187870
2026-04-20,18700.0,19600.0,17325.0,17475.0,490320,187870
2026-04-21,17475.0,17575.0,16275.0,17025.0,439946,187870
2026-04-22,16875.0,17375.0,16200.0,16950.0,238222,187870
2026-04-23,17000.0,17350.0,16100.0,16200.0,247000,187870
2026-04-24,16225.0,19325.0,15825.0,18650.0,695780,187870
2026-04-27,18650.0,20500.0,18650.0,19150.0,926616,187870
2026-04-28,19570.0,21750.0,18250.0,20600.0,616584,187870
2026-04-29,20500.0,20550.0,18810.0,19870.0,178603,187870
2026-04-30,19870.0,20400.0,18920.0,20200.0,128618,187870
2026-05-04,20250.0,20800.0,19190.0,19320.0,110497,187870
2026-05-06,19310.0,19310.0,17740.0,18080.0,360526,187870
2026-05-07,18080.0,21200.0,18080.0,20200.0,359808,187870
2026-05-08,20500.0,23350.0,19650.0,21550.0,386565,187870
2026-05-11,21550.0,23000.0,20350.0,21700.0,231728,187870
2026-05-12,21300.0,22900.0,20950.0,21500.0,126801,187870
2026-05-13,20900.0,27950.0,20900.0,27950.0,925435,187870
2026-05-14,27900.0,28800.0,26250.0,26850.0,515872,187870
2026-05-15,26800.0,29700.0,25000.0,28100.0,841804,187870
2026-05-18,27000.0,28950.0,24350.0,26700.0,210543,187870
2026-05-19,26000.0,27800.0,24200.0,25950.0,207347,187870
2026-05-20,24650.0,25950.0,22350.0,23600.0,458127,187870
2026-05-21,24700.0,24700.0,22650.0,23000.0,184962,187870
2026-05-22,22450.0,24450.0,21150.0,23800.0,871074,187870
2026-05-26,24150.0,25900.0,22450.0,22800.0,672291,187870
2026-05-27,23250.0,27400.0,23000.0,25700.0,1399863,187870
2026-05-28,25950.0,25950.0,23850.0,24950.0,508576,187870
2026-05-29,24950.0,26900.0,23800.0,25950.0,528789,187870
2026-06-01,25950.0,26000.0,21650.0,23100.0,675941,187870
2026-06-02,23550.0,23800.0,19920.0,22050.0,645311,187870
2026-06-04,22600.0,24450.0,22050.0,23950.0,348720,187870
2026-06-05,23300.0,23300.0,21100.0,21150.0,207622,187870
2026-06-08,19030.0,20350.0,18680.0,19530.0,241741,187870
2026-06-09,20150.0,23100.0,20150.0,22500.0,263723,187870
2026-06-10,21900.0,23150.0,21150.0,22250.0,166,187870
2026-06-11,21500.0,25000.0,21000.0,24300.0,380249,187870
2026-06-12,25500.0,25500.0,23300.0,23600.0,268520,187870
2026-06-15,24000.0,25100.0,23900.0,24350.0,133734,187870
2026-06-16,24000.0,25000.0,22650.0,22900.0,249974,187870
2026-06-17,22850.0,22850.0,21350.0,21850.0,243865,187870
2026-06-18,21850.0,22000.0,20800.0,21450.0,171371,187870
2026-06-19,22000.0,22150.0,19460.0,19930.0,281566,187870
2026-06-22,19480.0,20050.0,18020.0,18170.0,302761,187870
2026-06-23,18000.0,18000.0,15100.0,15430.0,437740,187870
2026-06-24,15520.0,16000.0,14380.0,14630.0,292201,187870
2026-06-25,15220.0,16350.0,14020.0,14860.0,302182,187870
2026-06-26,14860.0,14860.0,13200.0,13600.0,240332,187870
2026-06-29,14140.0,14610.0,13170.0,14310.0,171710,187870
2026-06-30,14310.0,16190.0,14210.0,15730.0,212054,187870
2026-07-01,15750.0,16000.0,14840.0,15190.0,125739,187870
2026-07-02,15030.0,15170.0,13750.0,13970.0,120345,187870
2026-07-03,13970.0,14060.0,12820.0,13830.0,135137,187870
2026-07-06,13830.0,13960.0,12920.0,13400.0,51549,187870
2026-07-07,13400.0,14300.0,12650.0,13600.0,173314,187870
2026-07-08,13510.0,13950.0,12560.0,12740.0,92637,187870
2026-07-09,12740.0,13490.0,12550.0,13110.0,86266,187870
2026-07-10,13500.0,14240.0,13110.0,13790.0,60550,187870
