stock_code,prev_close
011810,3530.0
227840,12000.0
120030,87000.0
083420,4545.0
014580,3965.0
123690,6710.0
002390,7800.0
33626K,7840.0
084670,36150.0
248170,22900.0
264900,8030.0
267850,9190.0
119650,918.0
007210,1534.0
023450,29000.0
013570,3805.0
001290,893.0
058850,2355.0
007610,5480.0
067830,2375.0
014790,2510.0
036580,2570.0
008700,1235.0
019680,1137.0
002210,973.0
032560,5450.0
001275,30900.0
078935,52500.0
004140,1927.0
006660,11230.0
014440,4535.0
023800,5660.0
058860,2585.0
014160,813.0
023000,2250.0
37550L,42800.0
363280,1940.0
004890,36400.0
011700,2685.0
163560,6170.0
017370,4580.0
036420,4440.0
063160,15590.0
008260,2960.0
011000,918.0
005740,5710.0
006840,6320.0
004840,4320.0
139990,2130.0
002200,2500.0
009190,1875.0
000590,72700.0
002600,137400.0
055490,17110.0
007980,1746.0
001020,2265.0
000230,7000.0
109070,1512.0
001470,347.0
007110,1028.0
007590,5820.0
002700,1128.0
111380,12900.0
005870,5580.0
009180,2750.0
007815,26000.0
006090,8190.0
000105,63800.0
096775,60300.0
013870,3925.0
010960,3125.0
003580,1459.0
095720,1307.0
069730,5170.0
006890,6380.0
011150,2035.0
001560,9800.0
002720,3455.0
005750,4395.0
001260,7300.0
000850,32300.0
031820,5950.0
004720,3120.0
35320K,33650.0
000180,5040.0
100220,5370.0
007460,3095.0
085310,9350.0
003780,5300.0
101140,6800.0
120115,25050.0
016090,1541.0
079980,1975.0
338100,3635.0
002795,10680.0
003925,33750.0
013700,1121.0
068290,6620.0
155660,4160.0
072130,5100.0
007280,2140.0
000220,3855.0
018500,1446.0
013360,1202.0
009770,25550.0
010770,4310.0
010040,1507.0
010660,2820.0
006880,5200.0
024900,1871.0
012690,1669.0
071090,3010.0
009200,1462.0
003010,4700.0
004540,1610.0
396690,1484.0
004060,2940.0
004440,4645.0
111110,6510.0
004770,1646.0
002630,978.0
129260,1951.0
075180,3025.0
378850,3025.0
092780,4325.0
004830,3600.0
000725,52300.0
006980,17510.0
092440,1888.0
372910,1966.0
002760,914.0
001550,10390.0
001620,2375.0
001465,24900.0
005305,69300.0
004450,24950.0
009835,20850.0
214330,2555.0
021050,1122.0
002410,1935.0
006370,4975.0
004920,980.0
023810,5290.0
480370,1630.0
003475,4065.0
020760,902.0
025530,3415.0
058730,2560.0
003465,2895.0
123700,3245.0
041650,2290.0
002140,1970.0
008420,2265.0
37550K,22800.0
000910,3100.0
090080,860.0
051630,2270.0
023350,4360.0
011390,44800.0
069460,2660.0
006125,37350.0
357250,1844.0
014910,2100.0
28513K,22450.0
004910,3500.0
009320,910.0
047400,1080.0
005030,486.0
074610,5110.0
000950,26650.0
003080,2225.0
006490,297.0
002920,1664.0
017180,1267.0
011230,2200.0
027740,1340.0
093240,686.0
019490,541.0
009140,26500.0
012280,840.0
017040,932.0
004410,1017.0
008870,40050.0
133820,1071.0
011300,2495.0
026940,1931.0
084870,1875.0
000215,22800.0
011420,1369.0
013000,1326.0
005320,1110.0
481850,870.0
049800,1860.0
002880,796.0
010640,2200.0
023960,944.0
003060,2500.0
134790,18400.0
011330,396.0
014990,480.0
145270,750.0
000890,1317.0
007120,1241.0
000760,12530.0
004365,9320.0
002420,5550.0
003535,6800.0
001380,1433.0
002870,917.0
088790,2535.0
005820,13600.0
023150,4225.0
308170,3695.0
001210,493.0
33637K,1791.0
001070,5950.0
004870,267.0
025750,1880.0
071950,2455.0
012160,376.0
000040,340.0
008250,2635.0
009810,1889.0
006570,1900.0
003680,4535.0
024070,1832.0
030720,5980.0
010400,3670.0
019175,13790.0
033250,4310.0
002025,23950.0
009460,2265.0
002690,1326.0
090370,1077.0
014130,2250.0
005110,1254.0
006740,5550.0
143210,1199.0
006345,10350.0
33626L,8660.0
004270,7100.0
002355,3930.0
005360,1305.0
015260,525.0
118000,1461.0
446070,2275.0
465770,3380.0
008775,32300.0
002820,1915.0
003495,21400.0
009310,5330.0
069640,986.0
024890,2790.0
006200,2375.0
002360,2030.0
012170,1044.0
